user.key;datetime;meter.reading;diff
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 05:19:43;68429;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 06:19:43;68429;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 07:19:43;68429;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 08:19:43;68447;18
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 09:19:40;68470;23
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 10:19:40;68486;16
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 11:19:40;68492;6
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 12:19:40;68492;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 13:19:38;68492;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 14:19:38;68492;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 15:19:38;68492;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 16:19:38;68492;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 17:19:42;68512;20
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 18:19:42;68536;24
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 19:19:42;68550;14
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 20:19:42;68564;14
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 21:19:39;68577;13
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 22:19:39;68593;16
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 23:19:39;68653;60
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 00:19:39;68658;5
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 09:19:37;68667;9
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 10:19:37;68779;112
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 11:19:37;68784;5
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 12:19:37;68784;0
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 13:19:36;68786;2
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 14:19:36;68786;0
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 15:19:36;68787;1
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 16:19:36;68793;6
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 17:19:39;68794;1
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 18:19:39;68798;4
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 19:19:39;68807;9
1f8730a9-5d67-4895-9215-6e247087ea00;03/03/2016 20:19:39;68807;0
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 05:19:34;68824;17
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 06:19:34;68824;0
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 07:19:34;68824;0
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 08:19:34;68825;1
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 09:19:37;68825;0
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 10:19:37;68860;35
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 11:19:37;68860;0
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 12:19:37;68860;0
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 13:19:31;68949;89
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 14:19:31;68949;0
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 15:19:31;68957;8
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 16:19:31;68976;19
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 17:19:34;68984;8
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 18:19:34;68991;7
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 19:19:34;69000;9
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 20:19:34;69005;5
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 21:19:31;69023;18
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 22:19:31;69039;16
1f8730a9-5d67-4895-9215-6e247087ea00;04/03/2016 23:19:31;69039;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 00:19:31;69039;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 01:19:34;69048;9
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 02:19:34;69053;5
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 03:19:34;69053;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 04:19:34;69053;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 05:19:29;69053;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 06:19:29;69053;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 07:19:29;69053;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 08:19:29;69053;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 09:19:33;69053;0
1f8730a9-5d67-4895-9215-6e247087ea00;05/03/2016 10:19:33;69071;18
